generation,min_fitness
0,11.962079524757687
1,12.035144574357092
2,11.476543622996504
3,11.243715429303856
4,10.968282841204683
5,11.353777920024505
6,11.515991943301012
7,11.190498142302012
8,10.739115602342087
9,11.16288015971043
10,11.005083366866776
11,10.73422612681861
12,10.906912119035812
13,10.791368564977848
14,10.491683359264874
15,10.700760298194716
16,10.575959956173659
17,10.246086055912583
18,10.451147811013637
19,10.237074318109554
20,10.175565188145569
21,10.405809255613132
22,10.405809255613132
23,10.050891758718468
24,10.205367056199174
25,10.203981617478322
26,10.115372816683793
27,10.115372816683793
28,10.288983622646217
29,10.055812632137465
30,10.074955153247679
31,10.130388870136716
32,10.065732009372015
33,10.074456636184598
34,9.70409028861612
35,9.564445269019416
36,9.773677731034917
37,9.626821176298604
38,9.473276247150471
39,9.535310234380074
40,9.256907846781553
41,9.091345258430698
42,9.045834566686716
43,8.801553403174326
44,8.8128562531916
45,8.875552560481157
46,8.803483376458937
47,8.900333566357162
48,8.490912083646958
49,8.571859732682423
50,8.573771854883091
51,8.588113888087939
52,8.598423314136204
53,8.525887581858518
54,8.484426301097473
55,8.350231188528854
56,8.31328019693656
57,8.251130472462494
58,8.128967165336013
59,8.069684662314144
60,8.032268503992809
61,7.99834860515717
62,7.980891379565794
63,7.952831170386468
64,7.935886341149205
65,7.907000967026418
66,7.896127859387824
67,7.893168257794241
68,7.875077811764124
69,7.84765082302354
70,7.821596135612655
71,7.80085542580108
72,7.798321491189167
73,7.780240823012638
74,7.774800738390196
75,7.76943611706638
76,7.751355448889852
77,7.756829940503378
78,7.745915364267412
79,7.745915364267412
80,7.732782450521609
81,7.732782450521607
82,7.732782450521608
83,7.732782450521608
84,7.732782450521608
85,7.714811652634787
86,7.714811652634786
87,7.714811652634786
88,7.714811652634786
89,7.743697026757571
90,7.714811652634788
91,7.714811652634787
92,7.714811652634786
93,7.714811652634786
94,7.714811652634787
95,7.714811652634787
96,7.743697026757571
97,7.743697026757571
98,7.743697026757571
99,7.714811652634787
100,7.714811652634787
101,7.714811652634787
102,7.743697026757571
103,7.714811652634787
104,7.714811652634786
105,7.714811652634785
106,7.714811652634786
107,7.714811652634786
108,7.714811652634786
109,7.714811652634786
110,7.714811652634786
111,7.714811652634786
112,7.714811652634786
113,7.714811652634786
